,Ticker,Company,MS,MBI,MB,CNN,BS
439,AFGH,,False,False,False,True,False
440,AFGR,Affinion Group Holdings Inc,False,False,True,False,False
441,AFGVF,Agfa-Gevaert NV,False,False,False,False,False
442,AFGVY,Agfa-Gevaert NV,False,False,False,True,False
443,AFGYF,AFC Energy PLC,False,False,False,True,False
444,AFH,Atlas Financial Holdings Inc,False,True,True,True,True
445,AFHFF,AFH Financial Group PLC,False,False,False,True,False
446,AFI,Armstrong Flooring Inc,True,True,True,True,True
447,AFIDY,AFI Development PLC,False,False,False,False,False
448,AFIMF,Africa Israel Investments Ltd,False,False,False,True,False
449,AFIN,American Finance Trust Inc,False,True,True,True,False
450,AFINP,,False,True,False,True,False
451,AFIPA,AMFI Corp,False,False,False,True,False
452,AFL,Aflac Inc,True,True,True,True,True
453,AFLQF,Alfa Financial Software Holdings PLC,False,False,False,True,False
454,AFLYY,Air France-KLM,False,False,True,True,False
455,AFMD,Affimed NV,False,True,True,True,True
456,AFMJF,Alphamin Resources Corp,False,False,False,True,False
457,AFNL,Amfin Financial Corp,False,False,False,True,False
458,AFNNF,Affine R E,False,False,False,False,False
459,AFOP,Alliance Fiber Optic Products Inc,False,False,True,False,False
460,AFRAF,Air France-KLM,False,False,False,True,False
461,AFRBY,African Rainbow Minerals Ltd,False,False,False,False,False
462,AFRVF,African Phoenix Investments Ltd,False,False,False,True,False
463,AFRVY,African Phoenix Investments Ltd,False,False,False,False,False
464,AFSI,AmTrust Financial Services Inc,False,True,True,False,True
465,AFSLF,Amiad Water Systems Ltd,False,False,False,False,False
466,AFTPF,Afterpay Ltd,False,False,True,True,False
467,AFXXF,AF Poyry AB,False,False,False,True,False
468,AFYA,Afya Ltd,False,True,True,True,True
469,AFYG,Affinity Gold Corp.,False,False,False,True,False
470,AG,First Majestic Silver Corp,True,True,True,True,True
471,AGAAF,AltaGas Canada Inc,False,False,True,False,False
472,AGBA,AGBA Acquisition Ltd,False,True,False,True,False
473,AGBAR,,False,False,False,True,False
474,AGBAU,,False,True,True,True,False
475,AGCBF,Amarillo Gold Corp,False,False,False,True,False
476,AGCCF,Gensource Potash Corp,False,False,False,True,False
477,AGCO,AGCO Corp,True,True,True,True,True
478,AGCZ,Andes Gold Corp,False,False,False,True,False
479,AGDNF,Tallgrass Energy Corp,False,False,False,False,False
480,AGDXF,Antioquia Gold Inc,False,False,False,True,False
481,AGDY,Agri-Dynamics Inc,False,False,False,True,False
482,AGE,AgeX Therapeutics Inc,False,True,True,True,False
483,AGEEF,Halo Labs Inc,False,False,False,True,False
484,AGEN,Agenus Inc,False,True,True,True,True
485,AGESF,Ageas SA/ NV,False,False,False,True,False
486,AGESY,Ageas SA/ NV,False,False,True,True,False
487,AGFAF,AgraFlora Organics International Inc,False,False,True,True,False
